type,region,denomination,wine_name,menu_name,company,vine,year,reseller,price,sciolze_vinery,tastuma_vinery,service_temp,fridge_temp,fridge_type
Rossi,Piemonte,Carema DOCG,Carema ,Carema,Chiussuma ,Nebbiolo,2016,Proposta Vini ,50,0,5,18°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Roncaglie,Barbaresco Roncaglie,Poderi Colla,Nebbiolo,2019,Tastuma Tut,45,0,5,16-18°,16°,Rossi 16°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco ,Barbaresco Socrè,Socrè,Nebbiolo,2016,Cuzziol ,38,0,2,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Bricco Spessa,Barbaresco Bricco Spessa,La Morandina,Nebbiolo,2018,Tastuma Tut ,38,6,4,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco,Barbaresco Albino Rocca,Albino Rocca,Nebbiolo,2018,Tastuma Tut ,38,6,7,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Canova ,Barbaresco Canova,Ressia ,Nebbiolo,2017,Ressia,42,0,2,18°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Canova ,Barbaresco Canova,Ressia ,Nebbiolo,2019,Ressia,42,0,6,18°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Montersino,Barbaresco Montersino,Albino Rocca,Nebbiolo,2018,Tastuma Tut ,50,0,3,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbaresco DOCG,Barbaresco Angelo,Barbaresco Angelo,Albino Rocca,Nebbiolo,2016,Tastuma Tut ,86,2,1,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Barolo Bussia ,Barolo Bussia,Poderi Colla,Nebbiolo,2018,Tastuma Tut ,55,0,4,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Barolo Serralunga ,Barolo Serralunga,Ettore Germano ,Nebbiolo,2017,Ettore Germano,42,0,6,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Tre Ciabot,Barolo Tre Ciabot,Cascina Ballarin,Nebbiolo,2016,Tastuma Tut ,42,0,8,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Barolo,Barolo Oddero,Figli di Luigi Oddero,Nebbiolo,2016,Tastuma Tut ,48,0,3,18°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Barolo Villero ,Barolo Villero,Giacomo Fenocchio,Nebbiolo,2017,Darvin ,58,0,2,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Barolo Villero ,Barolo Villero,Giacomo Fenocchio,Nebbiolo,2018,Darvin ,70,0,5,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Bricco Rocca ,Barolo Bricco Rocca,Cascina Ballarin,Nebbiolo,2016,Tastuma Tut ,60,0,4,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barolo DOCG,Rocche Rivera,Barolo Rocche Rivera,Figli di Luigi Oddero,Nebbiolo,2016,Tastuma Tut ,87,3,6,18°,18°,Rossi 18°
Rossi,Lombardia,Rosso di Valtellina DOC,Rosso di Valtellina Olé!,Rosso di Valtellina Olé!,Dirupi,Nebbiolo,2019,Tastuma Tut ,21,5,5,16-18°,16°,Rossi 16°
Rossi,Lombardia,Valtellina Superiore DOCG,Valtellina Superiore,Valtellina Superiore,Dirupi,Nebbiolo,2016,Tastuma Tut ,28,5,5,18-20°,18°,Rossi 18°
Rossi,Lombardia,Valtellina Superiore DOCG,Grumello,Valtellina Superiore Grumello,Dirupi,Nebbiolo,2015,Tastuma Tut ,48,0,12,18-20°,18°,Rossi 18°
Rossi,Lombardia,Sforzato di Valtellina DOCG,Vino Sbagliato,Sforzato di Valtellina Vino Sbagliato,Dirupi,Nebbiolo,2016,Tastuma Tut ,75,0,2,18-20°,18°,Rossi 18°
Rossi,Trentino Alto Adige,Kaltersee Classico Superiore DOC,Quintessenz Kaltersee Classico Superiore,Quintessenz Kaltersee Classico Superiore,Kellerei Kaltern,Schiava,2021,Kellerei Kaltern,20,3,11,,,
Rossi,Trentino Alto Adige,Pinot Nero Riserva DOC,Saltner Pinot Nero,Saltner Pinot Nero,Kellerei Kaltern,Pinot Nero,2019,Kellerei Kaltern,25,6,5,,,
Rossi,Trentino Alto Adige,Lagrein Riserva DOC,Lareith Lagrein Riserva,Lareith Lagrein Riserva,Kellerei Kaltern,Lagrein,2019,Kellerei Kaltern,23,0,9,,,
Rossi,Veneto,Valpolicella Ripasso Classico Superiore DOC,Valpolicella Ripasso Classico Superiore DOC,Valpolicella Ripasso Classico Superiore DOC,Tommasi ,"Corvina 70%, Rondinella 25%, Corvinone 5%",2018,Italo Pacini,24,0,0,18-20°,18°,Rossi 18°
Rossi,Veneto,Amarone della Valpollicella Classico DOCG,Amarone della Valpollicella Classico ,Amarone della Valpollicella Classico ,Tommasi ,"Corvina 50%, Corvinone 30%, Rondinella 15%, Oseleta 5%",2016,Italo Pacini,55,0,0,18-20°,18°,Rossi 18°
Rossi,Emilia Romagna ,Ravenna Centesimino IGT,Centesimino ,Ravenna Centesimino,Ancarani ,Centesimino - Savignon rosso ,,Eataly,22,0,9,16-18°,16°,Rossi 16°
Rossi,Emilia Romagna ,Ravenna Centesimino IGT,Centesimino ,Monte Tarbato,San Biagio Vecchio,Centesimino,2018,Vininversi,22,0,10,16-18°,16°,Rossi 16°
Rossi,Toscana ,Maremma Toscana DOC ,Cigliegiolo ,Cigliegiolo ,Antonio Camillo ,Ciglieiolo ,2018,Eataly ,18,0,3,16-18°,16°,Rossi 16°
Rossi,Toscana ,Maremma Toscana DOC ,Cigliegiolo Sequerciani,Cigliegiolo Sequerciani,Sequerciani,Ciglieiolo ,2019,VinGlu,27,0,0,16-18°,16°,Rossi 16°
Rossi,Toscana ,Chianti Classico DOCG,Chianti Classico,Chianti Classico,Castello di Monsanto ,"Sangiovese 90%, Colorino Canaiolo 10%",2018,Darvin ,22,0,4,16-18°,16°,Rossi 16°
Rossi,Toscana ,Rosso di Montalcino DOC,Rosso di Montalcino ,Rosso di Montalcino ,Fattoi,Sangiovese ,2019,Darvin ,21,0,4,16-18°,16°,Rossi 16°
Rossi,Toscana ,Brunello di Montalcino DOCG,Brunello di Montalcino ,Brunello di Montalcino ,Fattoi,Sangiovese ,2017,Darvin ,43,0,7,18-20°,18°,Rossi 18°
Rossi,Umbria ,Montefalco Sagrantino DOCG,Montefalco Sagrantino Campo di Raina ,Montefalco Sagrantino Campo di Raina ,Raina ,Sagrantino ,2018,Vininversi,30,0,7,18-20°,18°,Rossi 18°
Rossi,Abruzzo,Montepulciano d'Abruzzo DOP,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Bosco ,Montepulciano,2018,Bosco,21,12,6,8-10°,8°,Rossi 8°
Rossi,Abruzzo,Montepulciano d'Abruzzo Riserva DOP,Don Bosco,Montepulciano d'Abruzzo Riserva Don Bosco,Bosco ,Montepulciano,2018,Bosco,24,6,8,8-10°,8°,Rossi 8°
Rossi,Molise,Tintilia del Molise DOC,Tintilia Macchiarossa,Tintilia Macchiarossa,Claudio Cipressi,Tintilia,2016,Proposta Vini,29,0,3,,,
Rossi,Campania,Cilento DOP,Aglianico Kleos,Aglianico Kleos,Luigi Maffini,Aglianico,2019,Tastuma Tut ,22,0,0,16-18°,16°,Rossi 16°
Rossi,Campania,Cilento DOP,Aglianico Cenito,Aglianico Cenito,Luigi Maffini,Aglianico,2010,Tastuma Tut ,35,0,6,18-20°,18°,Rossi 18°
Rossi,Campania,Sannio DOC Aglianico,Clanius,Aglianico del Sannio Clanius,Caputo 1890,Aglianico,2020,Caputo1890,20,0,5,10-14°,8°,Rossi 8°
Rossi,Campania,Lacryma Christi del Vesuvio DOC,Lacryma Christi del Vesuvio Rosso,Lacryma Christi del Vesuvio Rosso,Caputo 1890,Piedirosso 80% e aglianico 20%,2021,Caputo1890,19,0,2,10-14°,8°,Rossi 8°
Rossi,Campania,Taurasi DOCG,Taurasi Caputo,Taurasi Caputo,Caputo 1890,Aglianico,2017,Caputo1890,35,0,3,10-14°,8°,Rossi 8°
Rossi,Basilicata,Aglianico del Vulture DOC,Rotondo Aglianico del Vulture,Paternoster Rotondo Aglianico del Vulture 2017,Paternoster,Aglianico,2017,Italo Pacini,35,0,7,16-18°,16°,Rossi 16°
Rossi,Basilicata,Aglianico del Vulture DOC,Rotondo Aglianico del Vulture,Paternoster Rotondo Aglianico del Vulture 2013,Paternoster,Aglianico,2013,Italo Pacini,42,0,3,16-18°,16°,Rossi 16°
Rossi,Sicilia,Perricone DOC,Perricone,Perricone,Tenuta Orestiadi,Perricone,2020,Tenuta Orestiadi,19,0,5,16-18°,16°,Rossi 16°
Rossi,Sicilia,Vittoria  DOC,Frappato Mandragola,Frappato Mandragola,Paolo Calì,Frappato,2017,Tastuma Tut ,19,0,3,16-18°,16°,Rossi 16°
Rossi,Sicilia,Nero d'Avola Vittoria DOC,Nero d'Avola Violino,Nero d' Avola Violino,Paolo Calì,Nero d'Avola,2017,Tastuma Tut ,19,0,3,16-18°,16°,Rossi 16°
Rossi,Sicilia,Cerasuolo di Vittoria Classico DOCG,Cerasuolo di Vittoria Manene,Cerasuolo di Vittoria Manene,Paolo Calì,Frappato (60%) e Nero d'Avola (40%),2018,Tastuma Tut ,21,6,6,14-16°,16°,Rossi 16°
Rossi,Sicilia,Etna Rosso DOC,Etna Rosso Martinella,Etna Rosso Martinella,Vivera,"Nerello Mascalese 90%, Nerello Cappuccio 10%",2013,Tastuma Tut ,30,3,5,18-20°,18°,Rossi 18°
Rossi,Sicilia,Etna Rosso DOC,Etna Rosso Arcuria,Etna Rosso Arcuria,Calcagno,"Nerello Mascalese 90%, Nerello Cappuccio 10%",2017,Darvin ,34,0,4,18-20°,18°,Rossi 18°
Rossi,Sicilia,Vino Rosso ,Storia,Gisira Storia,Gisira,Nero d'Avola,2022,Gisira,19,0,1,18-20°,18°,Rossi 18°
Rossi,Sicilia,Vino Rosso ,Sogno,Gisira Sogno,Gisira,Syrah,2022,Gisira,19,3,8,18-20°,18°,Rossi 18°
Rossi,Sicilia,Vino Rosso ,Realtà,Gisira Realtà,Gisira,Syrah e Nero d'Avola,2022,Gisira,19,3,4,18-20°,18°,Rossi 18°
Rossi,Sardegna,Isola dei Nuraghi Rosso IGT ,Familia Isola ,Isola dei Nuraghi Familia Isola,Deperu Holler,"Maristellu, Bovale Sardo e Cannonau ",2018,Tastuma Tut,19,9,7,14-16°,16°,Rossi 16°
Rossi,Sardegna,Isola dei Nuraghi Rosso IGT ,Ottomani,Ottomani,Deperu Holler,Vari vitigni a bacca rossa e bianca,2021,Tastuma Tut,21,9,0,12-14°,8°,Rossi 8°
Rossi,Francia - Borgogna,Bourgogne Pinot Noir,Bourgogne Pinot Noir,Bourgogne Pinot Noir,Schaller,Pinot Noir,2020,Darvin ,29,0,1,14-16°,16°,Rossi 16°
Rossi,Francia - Jura,Arbois AOC,Trousseau en Tartot,Arbois Trousseau en Tartot,Amelie Guillot,Trousseau,2018,Pretzhof,34,0,2,16-18°,16°,Rossi 16°
Vini da dessert,Piemonte,Moscato d'Asti DOCG,Moscato d'Asti,Moscato d'Asti,La Morandina,Moscato ,2020,Tastuma Tut ,18,6,6,8-10°,8°,Vini da dessert 8°
Vini da dessert,Piemonte,Moscato d'Asti DOCG,Moscato d'Asti Scarpona,Moscato d'Asti Scrapona,Marenco,Moscato ,2021,Marenco,18,0,0,8-10°,8°,Vini da dessert 8°
Vini da dessert,Piemonte,Moscato Vendemmia Tardiva,Mesicaseu,Mesicaseu,L'Armangia,75% Moscato  e 25% Chardonnay,,Darvin ,18,0,6,10-12°,8°,Vini da dessert 8°
Vini da dessert,Piemonte,Passito di Barbera,Ciresa,Passito di Barbera Ciresa,Serra Domenico,Barbera,,Enoteca Regionale di Nizza,25,0,7,8-10°,8°,Vini da dessert 8°
Vini da dessert,Piemonte,Vino aromatizzato ,Barolo Chinato ,Barolo Chinato ,Cocchi ,,s.a.,Eataly ,29,0,2,12-14°,16°,Vini da dessert 16°
Vini da dessert,Piemonte,Vino rosso dolce ,Paruss rosso da uve stramature,Paruss rosso da uve stramature,Parusso ,Nebbiolo ,2011,Cuzziol,50,0,4,12-14°,16°,Vini da dessert 16°
Vini da dessert,Piemonte,Moscato Passito,Albarosa,Moscato Passito Albarosa,Beppe Marino,Moscato ,,Beppe Marino,25,0,2,10-12°,8°,Vini da dessert 8°
Vini da dessert,Emilia Romagna ,Albana Passito,Anforghettabol,Anforghettabol,San Biagio Vecchio,Albana,2020,Vininversi,35,0,7,,,
Vini da dessert,Sicilia ,Terre Siciliane IGT ,Zibibbo liquoroso Bio ,Zibibbo liquoroso Bio ,Pellegrino ,,2018,Eataly ,17,0,1,12-14°,16°,Vini da dessert 16°
Vini da dessert,Sicilia ,Malvasia delle Lipari DOC ,Malvasia delle Lipari ,Malvasia delle Lipari ,Hauner,,2018,Eataly ,35,0,5,10-12°,8°,Vini da dessert 8°
Vini da dessert,Sicilia ,Passito di Pantelleria,Passito di Pantelleria,NES Passito di Pantelleria,Pellegrino ,,2017,Eataly ,28,0,5,10-12°,8°,Vini da dessert 8°
Vini da dessert,Sicilia ,Terre Siciliane IGT ,Paxmentis,Paxmentis,Tenuta Orestiadi,Syrah,2020,Tenuta Orestiadi,21,0,4,10-12°,8°,Vini da dessert 8°
Vini da dessert,Sicilia ,Terre Siciliane IGT ,Pacenzia,Pacenzia,Tenuta Orestiadi,Zibibbo Vendemmia Tardiva,,Tenuta Orestiadi,21,0,5,10-12°,8°,Vini da dessert 8°
Vini da dessert,Francia ,Sauternes AOC,Sauternes,Sauternes,Chateau Roumieu ,,2017,Cuzziol,19,0,1,10-12°,8°,Vini da dessert 8°
Vini da dessert,Francia ,Sauternes AOC,Sauternes,Sauternes,Chateau Roumieu ,,2017,Cuzziol,38,0,6,1,,1
Vini da dessert,Spagna ,Jerez,PX en rama Cruz Vieja,Jerez PX en rama Cruz Vieja,Bodega Faustino Gonzales,Pedro Ximenez,,Darvin ,48,0,1,15-17°,16°,Vini da dessert 16°
Vini da dessert,Spagna ,Jerez,Fino en rama Cruz Vieja,Jerez Fino en rama Cruz Vieja,Bodegas  Faustino Gonzales,Palomino ,,Darvin ,44,0,3,8-10°,8°,Vini da dessert 8°
Vini da dessert,Spagna ,Jerez,Oloroso en rama Cruz Vieja,Jerez Oloroso en rama Cruz Vieja,Bodegas  Faustino Gonzales,Palomino ,,Darvin ,57,0,2,15-17°,16°,Vini da dessert 16°
